SYMBOL,COMPANYNAME,SERIES,ISIN NUMBER
FSC,Future Supply Chain Solutions Limited,EQ,INE935Q01015
FSL,Firstsource Solutions Limited,EQ,INE684F01012
GABRIEL,Gabriel India Limited,EQ,INE524A01029
GAEL,Gujarat Ambuja Exports Limited,EQ,INE036B01022
GAIL,GAIL (India) Limited,EQ,INE129A01019
GAL,Gyscoal Alloys Limited,BE,INE482J01021
GALAXYSURF,Galaxy Surfactants Limited,EQ,INE600K01018
GALLANTT,Gallantt Metal Limited,EQ,INE297H01019
GALLISPAT,Gallantt Ispat Limited,EQ,INE528K01029
GAMMNINFRA,Gammon Infrastructure Projects Limited,EQ,INE181G01025
GANDHITUBE,Gandhi Special Tubes Limited,EQ,INE524B01027
GANECOS,Ganesha Ecosphere Limited,EQ,INE845D01014
GANESHHOUC,Ganesh Housing Corporation Limited,EQ,INE460C01014
GANGESSECU,Ganges Securities Limited,EQ,INE335W01016
GANGOTRI,Gangotri Textiles Limited,BZ,INE670B01028
GARDENSILK,Garden Silk Mills Limited,EQ,INE526A01016
GARFIBRES,Garware Technical Fibres Limited,EQ,INE276A01018
GATI,GATI Limited,EQ,INE152B01027
GAYAHWS,Gayatri Highways Limited,BE,INE287Z01012
GAYAPROJ,Gayatri Projects Limited,EQ,INE336H01023
GDL,Gateway Distriparks Limited,EQ,INE852F01015
GEECEE,GeeCee Ventures Limited,EQ,INE916G01016
GEMINI,Gemini Communication Limited,BE,INE878C01033
GENESYS,Genesys International Corporation Limited,EQ,INE727B01026
GENUSPAPER,Genus Paper & Boards Limited,EQ,INE949P01018
GENUSPOWER,Genus Power Infrastructures Limited,EQ,INE955D01029
GEOJITFSL,Geojit Financial Services Limited,EQ,INE007B01023
GEPIL,GE Power India Limited,EQ,INE878A01011
GESHIP,The Great Eastern Shipping Company Limited,EQ,INE017A01032
GET&D,GE T&D India Limited,EQ,INE200A01026
GHCL,GHCL Limited,EQ,INE539A01019
GICHSGFIN,GIC Housing Finance Limited,EQ,INE289B01019
GICRE,General Insurance Corporation of India,EQ,INE481Y01014
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,INE047B01011
GILLETTE,Gillette India Limited,EQ,INE322A01010
GINNIFILA,Ginni Filaments Limited,EQ,INE424C01010
GIPCL,Gujarat Industries Power Company Limited,EQ,INE162A01010
GISOLUTION,GI Engineering Solutions Limited,EQ,INE065J01016
GITANJALI,Gitanjali Gems Limited,BZ,INE346H01014
GKWLIMITED,GKW Limited,EQ,INE528A01020
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,INE159A01016
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,INE935A01035
GLFL,Gujarat Lease Financing Limited,BE,INE540A01017
GLOBALVECT,Global Vectra Helicorp Limited,EQ,INE792H01019
GLOBOFFS,Global Offshore Services Limited,EQ,INE446C01013
GLOBUSSPR,Globus Spirits Limited,EQ,INE615I01010
GMBREW,GM Breweries Limited,EQ,INE075D01018
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,INE131A01031
GMMPFAUDLR,GMM Pfaudler Limited,EQ,INE541A01023
GMRINFRA,GMR Infrastructure Limited,EQ,INE776C01039
GNA,GNA Axles Limited,EQ,INE934S01014
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,INE113A01013
GOACARBON,Goa Carbon Limited,EQ,INE426D01013
GOCLCORP,GOCL Corporation Limited,EQ,INE077F01035
GODFRYPHLP,Godfrey Phillips India Limited,EQ,INE260B01028
GODREJAGRO,Godrej Agrovet Limited,EQ,INE850D01014
GODREJCP,Godrej Consumer Products Limited,EQ,INE102D01028
GODREJIND,Godrej Industries Limited,EQ,INE233A01035
GODREJPROP,Godrej Properties Limited,EQ,INE484J01027
GOENKA,Goenka Diamond and Jewels Limited,BZ,INE516K01024
GOKEX,Gokaldas Exports Limited,EQ,INE887G01027
GOKUL,Gokul Refoils and Solvent Limited,EQ,INE020J01029
GOKULAGRO,Gokul Agro Resources Limited,EQ,INE314T01025
GOLDENTOBC,Golden Tobacco Limited,BE,INE973A01010
GOLDIAM,Goldiam International Limited,EQ,INE025B01017
GOLDTECH,Goldstone Technologies Limited,EQ,INE805A01014
GOODLUCK,Goodluck India Limited,EQ,INE127I01024
GPIL,Godawari Power And Ispat limited,EQ,INE177H01013
GPPL,Gujarat Pipavav Port Limited,EQ,INE517F01014
GPTINFRA,GPT Infraprojects Limited,EQ,INE390G01014
GRANULES,Granules India Limited,EQ,INE101D01020
GRAPHITE,Graphite India Limited,EQ,INE371A01025
GRASIM,Grasim Industries Limited,EQ,INE047A01021
GRAVITA,Gravita India Limited,EQ,INE024L01027
GREAVESCOT,Greaves Cotton Limited,EQ,INE224A01026
GREENLAM,Greenlam Industries Limited,EQ,INE544R01013
GREENPLY,Greenply Industries Limited,EQ,INE461C01038
GREENPOWER,Orient Green Power Company Limited,EQ,INE999K01014
GRINDWELL,Grindwell Norton Limited,EQ,INE536A01023
GROBTEA,The Grob Tea Company Limited,EQ,INE646C01018
GRPLTD,GRP Limited,EQ,INE137I01015
GRUH,Gruh Finance Limited,EQ,INE580B01029
GSCLCEMENT,Gujarat Sidhee Cement Limited,EQ,INE542A01039
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,INE026A01025
GSKCONS,GlaxoSmithKline Consumer Healthcare Limited,EQ,INE264A01014
GSPL,Gujarat State Petronet Limited,EQ,INE246F01010
GSS,GSS Infotech Limited,EQ,INE871H01011
GTL,GTL Limited,EQ,INE043A01012
GTLINFRA,GTL Infrastructure Limited,BE,INE221H01019
GTNIND,GTN Industries Limited,EQ,INE537A01013
GTNTEX,GTN Textiles Limited,EQ,INE302H01017
GTPL,GTPL Hathway Limited,EQ,INE869I01013
GUFICBIO,Gufic Biosciences Limited,EQ,INE742B01025
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,INE186A01019
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,INE826C01016
GUJFLUORO,Gujarat Fluorochemicals Limited,EQ,INE538A01037
GUJGASLTD,Gujarat Gas Limited,EQ,INE844O01022
GUJRAFFIA,Gujarat Raffia Industries Limited,BE,INE610B01024
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,INE635Q01029
GULFPETRO,GP Petroleums Limited,EQ,INE586G01017
GULPOLY,Gulshan Polyols Limited,EQ,INE255D01024
GVKPIL,GVK Power & Infrastructure Limited,EQ,INE251H01024
HAL,Hindustan Aeronautics Limited,EQ,INE066F01012
HANUNG,Hanung Toys and Textiles Limited,BE,INE648H01013
HARITASEAT,Harita Seating Systems Limited,EQ,INE939D01015
HARRMALAYA,Harrisons  Malayalam Limited,EQ,INE544A01019
HATHWAY,Hathway Cable & Datacom Limited,EQ,INE982F01036
HATSUN,Hatsun Agro Product Limited,EQ,INE473B01035
HAVELLS,Havells India Limited,EQ,INE176B01034
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,BE,INE293B01029
HBLPOWER,HBL Power Systems Limited,EQ,INE292B01021
HBSL,HB Stockholdings Limited,EQ,INE550B01022
HCC,Hindustan Construction Company Limited,EQ,INE549A01026
HCG,Healthcare Global Enterprises Limited,EQ,INE075I01017
HCL-INSYS,HCL Infosystems Limited,EQ,INE236A01020
HCLTECH,HCL Technologies Limited,EQ,INE860A01027
HDFC,Housing Development Finance Corporation Limited,EQ,INE001A01036
HDFCAMC,HDFC Asset Management Company Limited,EQ,INE127D01025
HDFCBANK,HDFC Bank Limited,EQ,INE040A01026
HDFCLIFE,HDFC Standard Life Insurance Company Limited,EQ,INE795G01014
HDIL,Housing Development and Infrastructure Limited,EQ,INE191I01012
HEG,HEG Limited,EQ,INE545A01016
HEIDELBERG,HeidelbergCement India Limited,EQ,INE578A01017
HERCULES,Hercules Hoists Limited,EQ,INE688E01024
HERITGFOOD,Heritage Foods Limited,EQ,INE978A01027
HEROMOTOCO,Hero MotoCorp Limited,EQ,INE158A01026
HESTERBIO,Hester Biosciences Limited,EQ,INE782E01017
HEXATRADEX,Hexa Tradex Limited,BE,INE750M01017
HEXAWARE,Hexaware Technologies Limited,EQ,INE093A01033
HFCL,Himachal Futuristic Communications Limited,EQ,INE548A01028
HGINFRA,H.G. Infra Engineering Limited,EQ,INE926X01010
HGS,Hinduja Global Solutions Limited,EQ,INE170I01016
HIGHGROUND,High Ground Enterprise Limited,EQ,INE361M01021
HIKAL,Hikal Limited,EQ,INE475B01022
HIL,HIL Limited,EQ,INE557A01011
HILTON,Hilton Metal Forging Limited,EQ,INE788H01017
HIMATSEIDE,Himatsingka Seide Limited,EQ,INE049A01027
HINDALCO,Hindalco Industries Limited,EQ,INE038A01020
HINDCOMPOS,Hindustan Composites Limited,EQ,INE310C01029
HINDCOPPER,Hindustan Copper Limited,EQ,INE531E01026
HINDMOTORS,Hindustan Motors Limited,EQ,INE253A01025
HINDNATGLS,Hindusthan National Glass & Industries Limited,EQ,INE952A01022
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,INE345A01011
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,INE094A01015
HINDSYNTEX,Hind Syntex Limited,EQ,INE155B01012
HINDUJAVEN,Hinduja Ventures Limited,EQ,INE353A01023
HINDUNILVR,Hindustan Unilever Limited,EQ,INE030A01027
HINDZINC,Hindustan Zinc Limited,EQ,INE267A01025
HIRECT,Hind Rectifiers Limited,EQ,INE835D01023
HISARMETAL,Hisar Metal Industries Limited,EQ,INE598C01011
HITECH,Hi-Tech Pipes Limited,EQ,INE106T01017
HITECHCORP,Hitech Corporation Limited,EQ,INE120D01012
HITECHGEAR,The Hi-Tech Gears Limited,EQ,INE127B01011
HMT,HMT Limited,BZ,INE262A01018
HMVL,Hindustan Media Ventures Limited,EQ,INE871K01015
HONAUT,Honeywell Automation India Limited,EQ,INE671A01010
HONDAPOWER,Honda Siel Power Products Limited,EQ,INE634A01018
HOTELEELA,Hotel Leela Venture Limited,EQ,INE102A01024
HOTELRUGBY,Hotel Rugby Limited,BE,INE275F01019
HOVS,HOV Services Limited,EQ,INE596H01014
HPL,HPL Electric & Power Limited,EQ,INE495S01016
HSCL,Himadri Speciality Chemical Limited,EQ,INE019C01026
HSIL,HSIL Limited,EQ,INE415A01038
HTMEDIA,HT Media Limited,EQ,INE501G01024
HUBTOWN,Hubtown Limited,EQ,INE703H01016
HUDCO,Housing & Urban Development Corporation Limited,EQ,INE031A01017
IBREALEST,Indiabulls Real Estate Limited,EQ,INE069I01010
IBULHSGFIN,Indiabulls Housing Finance Limited,EQ,INE148I01020
IBULISL,Indiabulls Integrated Services Limited,BE,INE126M01010
IBVENTURES,Indiabulls Ventures Limited,BE,INE274G01010
ICICIBANK,ICICI Bank Limited,EQ,INE090A01021
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,INE765G01017
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,INE726G01019
ICIL,Indo Count Industries Limited,EQ,INE483B01026
ICRA,ICRA Limited,EQ,INE725G01011
ICSA,ICSA (India) Limited,BE,INE306B01029
IDBI,IDBI Bank Limited,EQ,INE008A01015
IDEA,Idea Cellular Limited,EQ,INE669E01016
IDFC,IDFC Limited,EQ,INE043D01016
IDFCBANK,IDFC Bank Limited,EQ,INE092T01019
IEX,Indian Energy Exchange Limited,EQ,INE022Q01012
IFBAGRO,IFB Agro Industries Limited,EQ,INE076C01018
IFBIND,IFB Industries Limited,EQ,INE559A01017
IFCI,IFCI Limited,EQ,INE039A01010
IFGLEXPOR,IFGL Refractories Limited,EQ,INE133Y01011
IGARASHI,Igarashi Motors India Limited,EQ,INE188B01013
IGL,Indraprastha Gas Limited,EQ,INE203G01027
IGPL,IG Petrochemicals Limited,EQ,INE204A01010
IIFL,IIFL Holdings Limited,EQ,INE530B01024
IITL,Industrial Investment Trust Limited,EQ,INE886A01014
IL&FSENGG,IL&FS Engineering and Construction Company Limited,EQ,INE369I01014
IL&FSTRANS,IL&FS Transportation Networks Limited,EQ,INE975G01012
IMFA,Indian Metals & Ferro Alloys Limited,EQ,INE919H01018
IMPAL,India Motor Parts and Accessories Limited,EQ,INE547E01014
IMPEXFERRO,Impex Ferro Tech Limited,BE,INE691G01015
INDBANK,Indbank Merchant Banking Services Limited,EQ,INE841B01017
INDHOTEL,The Indian Hotels Company Limited,EQ,INE053A01029
INDIACEM,The India Cements Limited,EQ,INE383A01012
INDIAGLYCO,India Glycols Limited,EQ,INE560A01015
INDIANB,Indian Bank,EQ,INE562A01011
INDIANCARD,Indian Card Clothing Company Limited,EQ,INE061A01014
INDIANHUME,Indian Hume Pipe Company Limited,EQ,INE323C01030
INDIGO,InterGlobe Aviation Limited,EQ,INE646L01027
INDLMETER,IMP Powers Limited,EQ,INE065B01013
INDNIPPON,India Nippon Electricals Limited,EQ,INE092B01025
INDOCO,Indoco Remedies Limited,EQ,INE873D01024
INDORAMA,Indo Rama Synthetics (India) Limited,EQ,INE156A01020
INDOSOLAR,Indosolar Limited,EQ,INE866K01015
INDOSTAR,IndoStar Capital Finance Limited,EQ,INE896L01010
INDOTECH,Indo Tech Transformers Limited,EQ,INE332H01014
INDOTHAI,Indo Thai Securities Limited,EQ,INE337M01013
INDOWIND,Indowind Energy Limited,EQ,INE227G01018
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,INE681B01017
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,INE915B01019
INDSWFTLTD,Ind-Swift Limited,EQ,INE788B01028
INDTERRAIN,Indian Terrain Fashions Limited,EQ,INE611L01021
INDUSINDBK,IndusInd Bank Limited,EQ,INE095A01012
INEOSSTYRO,INEOS Styrolution India Limited,EQ,INE189B01011
INFIBEAM,Infibeam Avenues Limited,EQ,INE483S01020
INFINITE,Infinite Computer Solutions (India) Limited,EQ,INE486J01014
INFRATEL,Bharti Infratel Limited,EQ,INE121J01017
INFY,Infosys Limited,EQ,INE009A01021
INGERRAND,Ingersoll Rand (India) Limited,EQ,INE177A01018
INOXLEISUR,INOX Leisure Limited,EQ,INE312H01016
INOXWIND,Inox Wind Limited,EQ,INE066P01011
INSECTICID,Insecticides (India) Limited,EQ,INE070I01018
INTEGRA,Integra Garments and Textiles Limited,BE,INE418N01027
INTELLECT,Intellect Design Arena Limited,EQ,INE306R01017
INTENTECH,Intense Technologies Limited,EQ,INE781A01025
INVENTURE,Inventure Growth & Securities Limited,EQ,INE878H01016
IOB,Indian Overseas Bank,EQ,INE565A01014
IOC,Indian Oil Corporation Limited,EQ,INE242A01010
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,INE485C01011
IPAPPM,International Paper APPM Limited,EQ,INE435A01028
IPCALAB,IPCA Laboratories Limited,EQ,INE571A01020
IRB,IRB Infrastructure Developers Limited,EQ,INE821I01014
ISEC,ICICI Securities Limited,EQ,INE763G01038
ISFT,Intrasoft Technologies Limited,EQ,INE566K01011
ISMTLTD,ISMT Limited,EQ,INE732F01019
ITC,ITC Limited,EQ,INE154A01025
ITDC,India Tourism Development Corporation Limited,EQ,INE353K01014
ITDCEM,ITD Cementation India Limited,EQ,INE686A01026
ITI,ITI Limited,EQ,INE248A01017
IVC,IL&FS Investment Managers Limited,EQ,INE050B01023
IVP,IVP Limited,EQ,INE043C01018
IVRCLINFRA,IVRCL Limited,BE,INE875A01025
IZMO,IZMO Limited,EQ,INE848A01014
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,INE168A01041
JAGRAN,Jagran Prakashan Limited,EQ,INE199G01027
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,INE048B01027
JAIBALAJI,Jai Balaji Industries Limited,EQ,INE091G01018
JAICORPLTD,Jai Corp Limited,EQ,INE070D01027
JAIHINDPRO,Jaihind Projects Limited,EQ,INE343D01010
JAINSTUDIO,Jain Studios Limited,BE,INE486B01011
JAMNAAUTO,Jamna Auto Industries Limited,EQ,INE039C01032
JAYAGROGN,Jayant Agro Organics Limited,EQ,INE785A01026
JAYBARMARU,Jay Bharat Maruti Limited,EQ,INE571B01028
JAYNECOIND,Jayaswal Neco Industries Limited,EQ,INE854B01010
JAYSREETEA,Jayshree Tea & Industries Limited,EQ,INE364A01020
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ,INE572A01028
JBFIND,JBF Industries Limited,BE,INE187A01017
JBMA,JBM Auto Limited,EQ,INE927D01028
JCHAC,Johnson Controls � Hitachi Air Conditioning India Limited,EQ,INE782A01015
JETAIRWAYS,Jet Airways (India) Limited,EQ,INE802G01018
JHS,JHS Svendgaard Laboratories Limited,EQ,INE544H01014
JIKIND,JIK Industries Limited,BE,INE026B01049
JINDALPHOT,Jindal Photo Limited,EQ,INE796G01012
JINDALPOLY,Jindal Poly Films Limited,EQ,INE197D01010
JINDALSAW,Jindal Saw Limited,EQ,INE324A01024
JINDALSTEL,Jindal Steel & Power Limited,EQ,INE749A01030
JINDCOT,Jindal Cotex Limited,EQ,INE904J01016
JINDRILL,Jindal Drilling And Industries Limited,EQ,INE742C01031
JINDWORLD,Jindal Worldwide Limited,EQ,INE247D01021
JISLDVREQS,Jain Irrigation Systems Limited,EQ,IN9175A01010
JISLJALEQS,Jain Irrigation Systems Limited,EQ,INE175A01038
JITFINFRA,JITF Infralogistics Limited,BE,INE863T01013
JKCEMENT,JK Cement Limited,EQ,INE823G01014
JKIL,J.Kumar Infraprojects Limited,EQ,INE576I01022
JKLAKSHMI,JK Lakshmi Cement Limited,EQ,INE786A01032
JKPAPER,JK Paper Limited,EQ,INE789E01012
JKTYRE,JK Tyre & Industries Limited,EQ,INE573A01042
JMA,Jullundur Motor Agency (Delhi) Limited,EQ,INE412C01015
JMCPROJECT,JMC Projects (India)  Limited,EQ,INE890A01016
JMFINANCIL,JM Financial Limited,EQ,INE780C01023
JMTAUTOLTD,JMT Auto Limited,BE,INE988E01036
JOCIL,Jocil Limited,EQ,INE839G01010
JPASSOCIAT,Jaiprakash Associates Limited,EQ,INE455F01025
JPINFRATEC,Jaypee Infratech Limited,BE,INE099J01015
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,EQ,INE147P01019
JPPOWER,Jaiprakash Power Ventures Limited,EQ,INE351F01018
JSL,Jindal Stainless Limited,EQ,INE220G01021
JSLHISAR,Jindal Stainless (Hisar) Limited,EQ,INE455T01018
JSWENERGY,JSW Energy Limited,EQ,INE121E01018
JSWHL,JSW Holdings Limited,EQ,INE824G01012
JSWSTEEL,JSW Steel Limited,EQ,INE019A01038
JTEKTINDIA,Jtekt India Limited,EQ,INE643A01035
JUBILANT,Jubilant Life Sciences Limited,EQ,INE700A01033
JUBLFOOD,Jubilant Foodworks Limited,EQ,INE797F01012
JUBLINDS,Jubilant Industries Limited,EQ,INE645L01011
JUSTDIAL,Just Dial Limited,EQ,INE599M01018
JVLAGRO,JVL Agro Industries Limited,EQ,INE430G01026
JYOTHYLAB,Jyothy Laboratories Limited,EQ,INE668F01031
JYOTISTRUC,Jyoti Structures Limited,BZ,INE197A01024
KABRAEXTRU,Kabra Extrusion Technik Limited,EQ,INE900B01029
KAJARIACER,Kajaria Ceramics Limited,EQ,INE217B01036
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,EQ,INE437B01014
KALPATPOWR,Kalpataru Power Transmission Limited,EQ,INE220B01022
KALYANI,Kalyani Commercials Limited,BE,INE610E01010
KALYANIFRG,Kalyani Forge Limited,BE,INE314G01014
KAMATHOTEL,Kamat Hotels (I) Limited,EQ,INE967C01018
KAMDHENU,Kamdhenu Limited,EQ,INE390H01012
KANANIIND,Kanani Industries Limited,EQ,INE879E01037
KANORICHEM,Kanoria Chemicals & Industries Limited,EQ,INE138C01024
KANSAINER,Kansai Nerolac Paints Limited,EQ,INE531A01024
KARDA,Karda Constructions Limited,EQ,INE278R01018
KARMAENG,Karma Energy Limited,EQ,INE725L01011
KARURVYSYA,Karur Vysya Bank Limited,EQ,INE036D01028
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,EQ,INE234I01010
KAVVERITEL,Kavveri Telecom Products Limited,EQ,INE641C01019
KAYA,Kaya Limited,EQ,INE587G01015
KCP,KCP Limited,EQ,INE805C01028
KCPSUGIND,KCP Sugar and Industries Corporation Limited,EQ,INE790B01024
KDDL,KDDL Limited,EQ,INE291D01011
KEC,KEC International Limited,EQ,INE389H01022
KECL,Kirloskar Electric Company Limited,EQ,INE134B01017
KEI,KEI Industries Limited,EQ,INE878B01027
KELLTONTEC,Kellton Tech Solutions Limited,EQ,INE164B01022
KERNEX,Kernex Microsystems (India) Limited,BE,INE202H01019
KESARENT,Kesar Enterprises Limited,EQ,INE133B01019
KESORAMIND,Kesoram Industries Limited,EQ,INE087A01019
KEYCORPSER,Keynote Corporate Services Limited,EQ,INE681C01015
KGL,Karuturi Global Limited,BE,INE299C01024
KHADIM,Khadim India Limited,EQ,INE834I01025
KHAITANELE,Khaitan Electricals Limited,BE,INE761A01019
KHAITANLTD,Khaitan (India) Limited,EQ,INE731C01018
KHANDSE,Khandwala Securities Limited,EQ,INE060B01014
KICL,Kalyani Investment Company Limited,EQ,INE029L01018
KILITCH,Kilitch Drugs (India) Limited,EQ,INE729D01010
KINGFA,Kingfa Science & Technology (India) Limited,EQ,INE473D01015
KIOCL,KIOCL Limited,EQ,INE880L01014
KIRIINDUS,Kiri Industries Limited,EQ,INE415I01015
KIRLOSBROS,Kirloskar Brothers Limited,EQ,INE732A01036
KIRLOSENG,Kirloskar Oil Engines Limited,EQ,INE146L01010
KIRLOSIND,Kirloskar Industries Limited,EQ,INE250A01039
KITEX,Kitex Garments Limited,EQ,INE602G01020
KKCL,Kewal Kiran Clothing Limited,EQ,INE401H01017
KMSUGAR,K.M.Sugar Mills Limited,EQ,INE157H01023
KNRCON,KNR Constructions Limited,EQ,INE634I01029
KOHINOOR,Kohinoor Foods Limited,EQ,INE080B01012
KOKUYOCMLN,Kokuyo Camlin Limited,EQ,INE760A01029
KOLTEPATIL,Kolte - Patil Developers Limited,EQ,INE094I01018
KOPRAN,Kopran Limited,EQ,INE082A01010
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,INE237A01028
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ,INE419A01022
KOTHARIPET,Kothari Petrochemicals Limited,EQ,INE720A01015
KOTHARIPRO,Kothari Products Limited,EQ,INE823A01017
KPIT,KPIT Technologies Limited,EQ,INE836A01035
KPRMILL,K.P.R. Mill Limited,EQ,INE930H01023
KRBL,KRBL Limited,EQ,INE001B01026
KREBSBIO,Krebs Biochemicals and Industries Limited,BE,INE268B01013
KRIDHANINF,Kridhan Infra Limited,EQ,INE524L01026
KSBPUMPS,KSB Pumps Limited,EQ,INE999A01015
KSCL,Kaveri Seed Company Limited,EQ,INE455I01029
KSERASERA,KSS Limited,BE,INE216D01026
KSK,KSK Energy Ventures Limited,EQ,INE143H01015
KSL,Kalyani Steels Limited,EQ,INE907A01026
KTIL,Kesar Terminals & Infrastructure Limited,EQ,INE096L01025
KTKBANK,The Karnataka Bank Limited,EQ,INE614B01018
KWALITY,kwality limited,EQ,INE775B01025
L&TFH,L&T Finance Holdings Limited,EQ,INE498L01015
LAKPRE,Lakshmi Precision Screws Limited,EQ,INE651C01018
LAKSHMIEFL,Lakshmi Energy and Foods Limited,EQ,INE992B01026
LAKSHVILAS,Lakshmi Vilas Bank Limited,EQ,INE694C01018
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,INE600L01024
LAMBODHARA,Lambodhara Textiles Limited,EQ,INE112F01022
LAOPALA,La Opala RG Limited,EQ,INE059D01020
LASA,Lasa Supergenerics Limited,EQ,INE670X01014
LAURUSLABS,Laurus Labs Limited,EQ,INE947Q01010
LAXMIMACH,Lakshmi Machine Works Limited,EQ,INE269B01029
LEEL,LEEL Electricals Limited,EQ,INE245C01019
LEMONTREE,Lemon Tree Hotels Limited,EQ,INE970X01018
LFIC,Lakshmi Finance & Industrial Corporation Limited,BE,INE850E01012
LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ,INE337A01034
LGBFORGE,LGB Forge Limited,BE,INE201J01017
LIBERTSHOE,Liberty Shoes Limited,EQ,INE557B01019
LICHSGFIN,LIC Housing Finance Limited,EQ,INE115A01026
LINCOLN,Lincoln Pharmaceuticals Limited,EQ,INE405C01035
LINCPEN,Linc Pen & Plastics Limited,EQ,INE802B01019
LINDEINDIA,Linde India Limited,EQ,INE473A01011
LITL,Lanco Infratech Limited,EQ,INE785C01048
LOKESHMACH,Lokesh Machines Limited,EQ,INE397H01017
LOTUSEYE,Lotus Eye Hospital and Institute Limited,EQ,INE947I01017
LOVABLE,Lovable Lingerie Limited,EQ,INE597L01014
LPDC,Landmark Property Development Company Limited,EQ,INE197J01017
LSIL,Lloyds Steels Industries Limited,EQ,INE093R01011
LT,Larsen & Toubro Limited,EQ,INE018A01030
LTI,Larsen & Toubro Infotech Limited,EQ,INE214T01019
LTTS,L&T Technology Services Limited,EQ,INE010V01017
LUMAXIND,Lumax Industries Limited,EQ,INE162B01018
LUMAXTECH,Lumax Auto Technologies Limited,EQ,INE872H01027
LUPIN,Lupin Limited,EQ,INE326A01037
LUXIND,Lux Industries Limited,EQ,INE150G01020
LYCOS,Lycos Internet Limited,EQ,INE425B01027
LYKALABS,Lyka Labs Limited,EQ,INE933A01014
LYPSAGEMS,Lypsa Gems & Jewellery Limited,EQ,INE142K01011
M&M,Mahindra & Mahindra Limited,EQ,INE101A01026
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,INE774D01024
MAANALU,Maan Aluminium Limited,EQ,INE215I01019
MADHAV,Madhav Marbles and Granites Limited,EQ,INE925C01016
MADHUCON,Madhucon Projects Limited,EQ,INE378D01032
MADRASFERT,Madras Fertilizers Limited,EQ,INE414A01015
MAGADSUGAR,Magadh Sugar & Energy Limited,EQ,INE347W01011
MAGMA,Magma Fincorp Limited,EQ,INE511C01022
MAGNUM,Magnum Ventures Limited,EQ,INE387I01016
MAHABANK,Bank of Maharashtra,EQ,INE457A01014
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,BE,INE843B01013
MAHASTEEL,Mahamaya Steel Industries Limited,EQ,INE451L01014
MAHINDCIE,Mahindra CIE Automotive Limited,EQ,INE536H01010
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,INE813A01018
MAHLOG,Mahindra Logistics Limited,EQ,INE766P01016
MAHSCOOTER,Maharashtra Scooters Limited,EQ,INE288A01013
MAHSEAMLES,Maharashtra Seamless Limited,EQ,INE271B01025
MAITHANALL,Maithan Alloys Limited,EQ,INE683C01011
MAJESCO,Majesco Limited,EQ,INE898S01029
MALUPAPER,Malu Paper Mills Limited,EQ,INE383H01017
MANAKALUCO,Manaksia Aluminium Company Limited,EQ,INE859Q01017
MANAKCOAT,Manaksia Coated Metals & Industries Limited,EQ,INE830Q01018
MANAKSIA,Manaksia Limited,EQ,INE015D01022
MANAKSTEEL,Manaksia Steels Limited,EQ,INE824Q01011
MANALIPETC,Manali Petrochemicals Limited,EQ,INE201A01024
MANAPPURAM,Manappuram Finance Limited,EQ,INE522D01027
MANDHANA,Mandhana Industries Limited,BE,INE087J01010
MANGALAM,Mangalam Drugs And Organics Limited,EQ,INE584F01014
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,EQ,INE558B01017
MANGLMCEM,Mangalam Cement Limited,EQ,INE347A01017
MANGTIMBER,Mangalam Timber Products Limited,EQ,INE805B01012
MANINDS,Man Industries (India) Limited,EQ,INE993A01026
MANINFRA,Man Infraconstruction Limited,EQ,INE949H01023
MANPASAND,Manpasand Beverages Limited,EQ,INE122R01018
MANUGRAPH,Manugraph India Limited,EQ,INE867A01022
MARALOVER,Maral Overseas Limited,EQ,INE882A01013
MARATHON,Marathon Nextgen Realty Limited,EQ,INE182D01020
MARICO,Marico Limited,EQ,INE196A01026
